km/l;IAT;RPM;MAP;km/h;Load;Acelerador(%);TARGET
10,98901099;55;2119;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;37,65;driver2
10,98901099;55;2119;98;57;100;18,82;driver2
10,98901099;55;2119;98;57;100;18,82;driver2
10,98901099;55;2119;98;57;100;18,82;driver2
25,64102564;55;2119;42;57;100;18,82;driver2
26,31578947;55;2119;42;59;100;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;18,82;driver2
26,31578947;55;2158;42;59;49;12,94;driver2
26,31578947;55;2158;42;59;49;12,94;driver2
26,31578947;55;2158;42;59;49;12,94;driver2
55,55555556;55;2158;20;59;49;12,94;driver2
47,61904762;55;2158;20;52;49;12,94;driver2
100;55;1096;20;52;33;12,94;driver2
100;55;1096;20;52;33;12,94;driver2
100;55;1096;20;52;33;12,94;driver2
100;55;1096;20;52;33;12,94;driver2
100;55;1096;20;52;33;12,94;driver2
100;55;1096;20;52;33;12,94;driver2
