km/l;IAT(°C);RPM;MAP(kPa);km/h;Engine Load(%);Throttle position(%);Class
35,71428571;49;1611;30;44;19;13,33;Load
35,71428571;49;1611;30;44;19;13,33;Load
22,22222222;49;1611;49;44;19;13,33;Load
12,04819277;49;1611;49;24;19;13,33;Load
12,04819277;49;1611;49;24;32;13,33;Load
20,83333333;49;920;49;24;32;13,33;Load
20,83333333;49;920;49;24;32;13,33;Load
10,98901099;49;920;94;24;32;19,61;Load
7,092198582;54;1928;73;25;71;25,1;Torque
7,092198582;54;1928;73;25;71;25,1;Torque
7,092198582;54;1928;73;25;71;25,1;Torque
7,092198582;54;1928;73;25;71;25,1;Torque
7,092198582;54;1928;73;25;71;25,1;Torque
7,092198582;54;1928;73;25;71;25,1;Torque
7,092198582;54;1928;73;25;71;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;25,1;Torque
5,050505051;54;2712;73;25;45;27,84;Torque
5,050505051;54;2712;73;25;45;27,84;Torque
13,15789474;54;2712;28;25;45;27,84;Torque
16,39344262;54;2712;28;31;45;27,84;Torque
19,60784314;54;2280;28;31;13;27,84;Torque
19,60784314;54;2280;28;31;13;27,84;Torque
19,60784314;54;2280;28;31;13;34,12;Torque
5,847953216;54;2280;93;31;13;34,12;Torque
6,993006993;54;2280;93;37;13;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;34,12;Torque
6,578947368;54;2424;93;37;84;35,69;Torque
6,578947368;54;2424;93;37;84;35,69;Torque
7,299270073;54;2424;84;37;84;35,69;Torque
